texto,categoria
"Olá equipe de suporte, estou com um problema no sistema e preciso de uma atualização urgente.",Produtivo
"Bom dia, desejo um Feliz Natal e agradeço pelo ótimo trabalho.",Improdutivo
"Qual o status da minha requisição #1234?",Produtivo
"Parabéns pelo excelente trabalho da equipe.",Improdutivo
"Preciso de ajuda para resolver um erro no sistema.",Produtivo
"Agradeço pelo retorno rápido, sem mais dúvidas.",Improdutivo
"Solicito atualização sobre o problema reportado ontem.",Produtivo
"Feliz aniversário para o time de suporte.",Improdutivo
"Há uma falha no login, podem verificar?",Produtivo
"Obrigado pela atenção, vocês são ótimos.",Improdutivo
"Gostaria de abrir um chamado de suporte técnico.",Produtivo
"Bom dia a todos, espero que estejam bem.",Improdutivo
"Preciso confirmar se minha requisição foi recebida.",Produtivo
"Parabéns pela conquista recente da equipe.",Improdutivo
"Estou enfrentando dificuldades para acessar o sistema.",Produtivo
"Quero agradecer pelo excelente atendimento.",Improdutivo
"Solicito suporte para corrigir erro no relatório.",Produtivo
"Feliz Natal e boas festas!",Improdutivo
"Gostaria de saber o andamento do chamado #5678.",Produtivo
"Obrigado pela colaboração, sem mais pendências.",Improdutivo
"Preciso que atualizem o status do chamado #4321.",Produtivo
"Solicito suporte para corrigir erro no cadastro de clientes.",Produtivo
"Favor enviar o relatório financeiro atualizado até amanhã.",Produtivo
"Gostaria de abrir uma solicitação para acesso ao sistema.",Produtivo
"Há uma falha na integração com o banco de dados, podem verificar?",Produtivo
"Preciso de ajuda para configurar meu perfil de usuário.",Produtivo
"Solicito informações sobre a entrega do pedido #9876.",Produtivo
"Estou enfrentando problemas para gerar relatórios, podem analisar?",Produtivo
"Favor confirmar se a atualização de segurança foi aplicada.",Produtivo
"Gostaria de saber se meu chamado foi encaminhado para a equipe técnica.",Produtivo
"Preciso de suporte para corrigir erro de autenticação.",Produtivo
"Solicito acesso temporário ao sistema de relatórios.",Produtivo
"Há inconsistências nos dados exportados, podem revisar?",Produtivo
"Favor verificar o problema de lentidão no sistema.",Produtivo
"Gostaria de solicitar treinamento sobre a nova ferramenta.",Produtivo
"Bom dia, espero que todos estejam bem.",Improdutivo
"Parabéns pelo aniversário da empresa!",Improdutivo
"Feliz Ano Novo para toda a equipe.",Improdutivo
"Obrigado pela amizade e parceria.",Improdutivo
"Vocês são incríveis, parabéns pelo trabalho.",Improdutivo
"Espero que tenham um ótimo fim de semana.",Improdutivo
"Quero agradecer pelo carinho e atenção.",Improdutivo
"Parabéns pela vitória no campeonato!",Improdutivo
"Feliz Páscoa para todos.",Improdutivo
"Obrigado pela presença no evento social.",Improdutivo
"Espero que estejam aproveitando as férias.",Improdutivo
"Parabéns pela conquista pessoal!",Improdutivo
"Bom descanso para todos.",Improdutivo
"Feliz dia das mães!",Improdutivo
"Obrigado pela amizade de sempre.",Improdutivo
"Preciso que atualizem o status do chamado #4321.",Produtivo
"Solicito suporte para corrigir erro no cadastro de clientes.",Produtivo
"Favor enviar o relatório financeiro atualizado até amanhã.",Produtivo
"Gostaria de abrir uma solicitação para acesso ao sistema.",Produtivo
"Há uma falha na integração com o banco de dados, podem verificar?",Produtivo
"Preciso de ajuda para configurar meu perfil de usuário.",Produtivo
"Solicito informações sobre a entrega do pedido #9876.",Produtivo
"Estou enfrentando problemas para gerar relatórios, podem analisar?",Produtivo
"Favor confirmar se a atualização de segurança foi aplicada.",Produtivo
"Gostaria de saber se meu chamado foi encaminhado para a equipe técnica.",Produtivo
"Preciso de suporte para corrigir erro de autenticação.",Produtivo
"Solicito acesso temporário ao sistema de relatórios.",Produtivo
"Há inconsistências nos dados exportados, podem revisar?",Produtivo
"Favor verificar o problema de lentidão no sistema.",Produtivo
"Gostaria de solicitar treinamento sobre a nova ferramenta.",Produtivo
"Preciso de ajuda para instalar a atualização do software.",Produtivo
"Solicito suporte para corrigir erro no relatório de vendas.",Produtivo
"Favor enviar a planilha de desempenho do último trimestre.",Produtivo
"Gostaria de saber se o backup foi concluído.",Produtivo
"Preciso confirmar se minha requisição foi recebida.",Produtivo
"Solicito suporte para corrigir erro no login.",Produtivo
"Favor verificar o problema de acesso ao sistema.",Produtivo
"Gostaria de abrir um chamado técnico.",Produtivo
"Preciso de ajuda para configurar o e-mail corporativo.",Produtivo
"Solicito informações sobre o andamento do chamado #5678.",Produtivo
"Favor enviar o relatório de incidentes da semana.",Produtivo
"Gostaria de confirmar se a atualização foi aplicada.",Produtivo
"Preciso de suporte para corrigir erro no cadastro.",Produtivo
"Solicito acesso ao sistema de relatórios.",Produtivo
"Favor verificar o problema de autenticação.",Produtivo
"Gostaria de solicitar suporte técnico.",Produtivo
"Preciso de ajuda para corrigir erro no sistema.",Produtivo
"Solicito informações sobre a entrega do pedido.",Produtivo
"Favor enviar o relatório financeiro.",Produtivo
"Gostaria de confirmar se o backup foi realizado.",Produtivo
"Preciso de suporte para corrigir erro no login.",Produtivo
"Solicito acesso ao sistema.",Produtivo
"Favor verificar o problema de lentidão.",Produtivo
"Gostaria de solicitar treinamento.",Produtivo
"Preciso de ajuda para instalar atualização.",Produtivo
"Solicito suporte para corrigir erro.",Produtivo
"Favor enviar a planilha de desempenho.",Produtivo
"Gostaria de saber se o backup foi concluído.",Produtivo
"Preciso confirmar se minha requisição foi recebida.",Produtivo
"Solicito suporte para corrigir erro no login.",Produtivo
"Favor verificar o problema de acesso.",Produtivo
"Gostaria de abrir chamado técnico.",Produtivo
"Preciso de ajuda para configurar e-mail.",Produtivo
"Solicito informações sobre andamento do chamado.",Produtivo
"Favor enviar relatório de incidentes.",Produtivo
"Bom dia, espero que todos estejam bem.",Improdutivo
"Parabéns pelo aniversário da empresa!",Improdutivo
"Feliz Ano Novo para toda a equipe.",Improdutivo
"Obrigado pela amizade e parceria.",Improdutivo
"Vocês são incríveis, parabéns pelo trabalho.",Improdutivo
"Espero que tenham um ótimo fim de semana.",Improdutivo
"Quero agradecer pelo carinho e atenção.",Improdutivo
"Parabéns pela vitória no campeonato!",Improdutivo
"Feliz Páscoa para todos.",Improdutivo
"Obrigado pela presença no evento social.",Improdutivo
"Espero que estejam aproveitando as férias.",Improdutivo
"Parabéns pela conquista pessoal!",Improdutivo
"Bom descanso para todos.",Improdutivo
"Feliz dia das mães!",Improdutivo
"Obrigado pela amizade de sempre.",Improdutivo
"Parabéns pelo excelente trabalho.",Improdutivo
"Feliz aniversário para o time.",Improdutivo
"Obrigado pela atenção.",Improdutivo
"Espero que estejam bem.",Improdutivo
"Parabéns pela conquista recente.",Improdutivo
"Feliz Natal e boas festas!",Improdutivo
"Obrigado pela colaboração.",Improdutivo
"Bom dia a todos.",Improdutivo
"Parabéns pela vitória.",Improdutivo
"Feliz Páscoa!",Improdutivo
"Obrigado pela presença.",Improdutivo
"Espero que estejam aproveitando.",Improdutivo
"Parabéns pela conquista!",Improdutivo
"Bom descanso.",Improdutivo
"Feliz dia das mães!",Improdutivo
"Obrigado pela amizade.",Improdutivo
"Parabéns pelo trabalho.",Improdutivo
"Feliz aniversário.",Improdutivo
"Obrigado pela atenção.",Improdutivo
"Espero que estejam bem.",Improdutivo
